Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG00136,0.5640983722960049,-1.1992005881518757,-0.5478754578150273,EUR,GBR,British in England and Scotland
HG00137,0.5696654041592835,-1.0839842582401655,0.04370226854050814,EUR,GBR,British in England and Scotland
HG00138,0.5895212780115745,-1.5358417070287644,-0.2154981699720456,EUR,GBR,British in England and Scotland
HG00139,0.5417653203160633,-1.2169312435330992,-0.2562365874803592,EUR,GBR,British in England and Scotland
HG00140,0.6888133230419062,-1.3794498263791002,-0.09044344924698364,EUR,GBR,British in England and Scotland
HG00141,0.6843048097230962,-1.3103705713204454,-0.796337659354742,EUR,GBR,British in England and Scotland
HG00142,0.5361980868502749,-1.4182067636866529,0.04268268047043615,EUR,GBR,British in England and Scotland
HG00143,0.6288164566078414,-0.9139032979335582,0.021916787120913786,EUR,GBR,British in England and Scotland
HG00145,0.7101441698099968,-0.9851932662520576,-0.6167658166051021,EUR,GBR,British in England and Scotland
HG00146,0.560865659484134,-1.5160478697099875,0.006088064226458719,EUR,GBR,British in England and Scotland
HG00148,0.561091611280128,-1.5581737540389764,-0.2800231109404989,EUR,GBR,British in England and Scotland
HG00149,0.5069366290480228,-1.1897609977836336,0.2392018045886793,EUR,GBR,British in England and Scotland
HG00150,0.5151667556530213,-1.3066741538829898,-0.5706988261242174,EUR,GBR,British in England and Scotland
HG00151,0.5496459929185037,-1.4079688152476977,0.16336949135379406,EUR,GBR,British in England and Scotland
HG00154,0.7115826622660064,-1.5131453062391909,0.3133198193852441,EUR,GBR,British in England and Scotland
HG00155,0.5771188806446865,-1.1738861320530145,-0.15990422211994296,EUR,GBR,British in England and Scotland
HG00157,0.6489099359822932,-1.4941392943291958,-0.1057833400733784,EUR,GBR,British in England and Scotland
HG00158,0.6172199746040418,-1.3482054363416685,0.03888096550320818,EUR,GBR,British in England and Scotland
HG00159,0.6969693144197382,-1.4934041536915017,-0.4760602389134654,EUR,GBR,British in England and Scotland
HG00160,0.5152909410694991,-1.1198247953290679,-0.1961676025579553,EUR,GBR,British in England and Scotland
HG00171,0.7143245791782175,-0.8678518149048422,-0.5985060465556342,EUR,FIN,Finnish in Finland
HG00173,0.5237193250888779,-1.2173722350957374,-0.1399362528441218,EUR,FIN,Finnish in Finland
HG00174,0.6708362257018013,-1.1470242761495526,0.02241572992288033,EUR,FIN,Finnish in Finland
HG00176,0.5800507136983967,-0.7171513980767069,-0.6276900305365399,EUR,FIN,Finnish in Finland
HG00177,0.5924880683452944,-0.8282273580039304,0.048670642693876574,EUR,FIN,Finnish in Finland
HG00178,0.5819178417233866,-1.1547593988189495,-0.059301286742822965,EUR,FIN,Finnish in Finland
HG00179,0.6233350806200221,-0.9876656328010752,-0.005947955038246839,EUR,FIN,Finnish in Finland
HG00180,0.6010593451948767,-1.0636205134286083,-0.20888564889138408,EUR,FIN,Finnish in Finland
HG00181,0.4766725809579339,-0.8779481521659708,-0.6899957337745528,EUR,FIN,Finnish in Finland
